product_id,product_name,category,pixel_pitch,cabinet_width_mm,cabinet_height_mm,weight_kg_per_cabinet,max_nits,service_type,is_curvy,uefa_certified,cost_per_sqft,description
GPPA062,LG GPPA062,Outdoor,6.2,500,500,8.5,5000,Front/Rear,No,Yes,450,"High-brightness stadium unit used for scoreboards and ribbons."
ANC-10-OUT,ANC 10mm Standard,Outdoor,10,1000,1000,22,6500,Rear,No,No,320,"Workhorse outdoor product for college stadiums."
ANC-4-IN,ANC 4mm Elite,Indoor,4,500,250,5,1200,Front,Yes,No,550,"High-resolution indoor product for arenas; supports curved mounting."
RISE-PRO,RISE WTC Special,Indoor,3.5,960,540,12,1500,Front,No,Yes,700,"Premium specification used for World Trade Center RISE projects."
LG-GSQA-083,LG GSQA 8mm Outdoor,Outdoor,8,500,500,20.7,10000,Rear,No,No,,"LG/InfiLED 8mm outdoor with Nationstar RS2727 diode, 1G Novastar receiver, COEX controller."
LG-GSCF-026,LG GSCF 2.6mm Outdoor,Outdoor,2.6,500,500,10,5500,Rear,No,No,,"LG/InfiLED 2.6mm outdoor with Nationstar RS1921 diode, 1G Novastar receiver, COEX controller."
LG-MESH-P10-039,LG Mesh P10 FM1921 3.9mm,Outdoor,3.9,1000,500,7.5,6000,Front,No,No,,"LG/Yaham mesh 3.9mm with NationStar FM1921 diode, 65% transparency."
LG-MESH-P4-RS1921,LG 4mm Mesh Outdoor,Outdoor,4,1000,500,7.5,6000,Front,No,No,,"LG/Yaham mesh 4mm with Nationstar RS1921 diode, 1G Novastar receiver, COEX controller."
LG-LSCC-012,LG LSCC 1.2mm Indoor,Indoor,1.2,600,337.5,5,900,Front,No,No,,"LG InfiLED 1.2mm indoor with Kinglight 1010 diode, 5G Fiber Novastar, COEX controller."
LG-LSCC-018,LG LSCC 1.875mm Indoor,Indoor,1.875,600,337.5,5,900,Front,No,No,,"LG InfiLED 1.8mm indoor with Kinglight 1212 diode, 5G Fiber Novastar, COEX controller."
LG-LSCC-025,LG LSCC 2.5mm Indoor,Indoor,2.5,600,337.5,5,900,Front,No,No,,"LG InfiLED 2.5mm indoor with Kinglight 1515 diode, 5G Fiber Novastar, COEX controller."
LG-C12-MIP,C1.2-MIP 1.2mm Indoor Alt,Indoor,1.2,600,337.5,5,2000,Front,No,No,,"LG/Yaham 1.2mm MIP alternate with Nationstar MIP-A1010WN, 2000 NITS."
LG-C18-MIP,C1.8-MIP 1.8mm Indoor/VisiBowl Alt,Indoor,1.8,600,337.5,5,2000,Front,No,No,,"LG/Yaham 1.8mm MIP alternate with Nationstar MIP-A1010WN, 2000 NITS. Also VisiBowl."
LG-C25-MIP,C2.5-MIP 2.5mm Indoor Alt,Indoor,2.5,600,337.5,5,2000,Front,No,No,,"LG/Yaham 2.5mm MIP alternate with Nationstar MIP-A1010WN, 2000 NITS."
